			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
I am monarch of all I survey,	i.am|MON|arch.of|ALL|i.sur|VEY	2		3							
	I|am|MON|arch|OF|all|I|sur|VEY							1			
	I|am|MON|arch.of|ALL.I|sur|VEY			2			1				
	I|am|MON|arch.of|ALL|i.sur|VEY			2			1				
	I|am|MON|arch.of|ALL|i|SUR|vey			1		1	1				
	I|am|MON.ARCH|of|ALL|i|SUR|vey			1		1			1		1
	I|am|MON.ARCH|of|ALL.I|sur|VEY			2					2		1
My right there is none to dispute,	my|RIGHT|there.is|NONE|to.dis|PUTE	2		2			1				
	my|RIGHT|there|IS|none|TO|dis|PUTE					1		2			
	my|RIGHT|there.is|NONE|to|DIS|pute		1	1		1	1	1			1
From the centre all round to the sea,	from.the|CEN|tre.all|ROUND|to.the|SEA	2		3							
	FROM|the|CEN|tre|ALL|round|TO|the|SEA							2			
	from.the|CEN|tre|ALL|round|TO|the|SEA			1			1	1			
I am lord of the fowl and the brute.	i.am|LORD|of.the|FOWL|and.the|BRUTE	2		3							
	I|am|LORD|of.the|FOWL|and.the|BRUTE			2			1				
	I|am|LORD|of|THE|fowl|AND|the|BRUTE					1		2			
	I|am|LORD|of.the|FOWL|and|THE|brute			1		1	1	1			
O solitude! where are the charms	o|SO|li.tude|WHERE|are.the|CHARMS	2	1	2		1	1				
	o|SO|li|TUDE|where|ARE|the|CHARMS							1			
	o|SO|li|TUDE.WHERE|are.the|CHARMS			2			1		1		
That sages have seen in thy face?	that|SAG|es.have|SEEN|in.thy|FACE	2		2			1				
	that|SAG|es|HAVE|seen|IN|thy|FACE					1					
	that|SAG|es.have|SEEN.IN|thy|FACE			2			1				
	THAT.SAG|es.have|SEEN|in.thy|FACE			3					1		
	that|SAG|es|HAVE.SEEN|in|THY.FACE			2				1	2		
Better dwell in the midst of alarms,	BET|ter|DWELL|in.the|MIDST|of.ala|RMS	1		2			1				
	BET|ter|DWELL|in|THE|midst|OF|ala|RMS					1		2			
	BET|ter|DWELL.IN|the|MIDST.OF|ala|RMS			2				1	2		
	BET|ter|DWELL|in.the|MIDST|of|ALA|rms		1	1		1	1	1			1
	BET|ter|DWELL.IN|the|MIDST|of|ALA|rms		1	1		1		1	1		1
Than reign in this horrible place.	than|REIGN|in.this|HOR|ri.ble|PLACE	2		2			1				
	than|REIGN|in.this|HOR|ri|BLE|place			1		1	1	1			
	THAN|reign|IN|this|HOR|ri.ble|PLACE			1		1	1	1			
	THAN|reign|IN|this|HOR|ri|BLE|place					2		2			
	than|REIGN.IN|this|HOR|ri|BLE|place			1		1		1	1		
	than|REIGN|in|THIS|hor|RI|ble|PLACE		1			1		2			1
	THAN|reign|IN|this|HOR|ri|BLE.PLACE			1		1		2	1		
	than|REIGN.IN|this|HOR|ri|BLE.PLACE			2				1	2		
I am out of humanity's reach,	i.am|OUT|of.hu|MAN|i.ty's|REACH	2		3				1			
	I|am|OUT|of.hu|MAN|i.ty's|REACH			2			1	1			
	I|am.out|OF|hu|MAN|i.ty's|REACH			2			1	1			
	i|AM|out|OF|hu|MAN|i.ty's|REACH			1			1	2			
	i|AM|out|OF|hu|MAN|i|TY'S|reach					1		3			
	i|AM|out|OF|hu|MAN|i|TY'S.REACH			1				3	1		
I must finish my journey alone,	i.must|FIN|ish.my|JOUR|ney.al|ONE	2		3							
	I|must|FIN|ish.my|JOUR|ney.al|ONE			2			1				
	I|must|FIN|ish|MY|jour|NEY|al|ONE		1			1		2			1
	I|must|FIN|ish.my|JOUR|ney|AL|one		1	1		1	1	1			1
	i|MUST|fin|ISH|my|JOUR|ney.al|ONE		1	1		1	1	1			1
Never hear the sweet music of speech,	NEV|er|HEAR|the.sweet|MU|sic.of|SPEECH			2		1	1				
	NEV|er|HEAR|the|SWEET|mu|SIC|of|SPEECH		1			1		1			1
	NEV|er|HEAR|the|SWEET.MU|sic.of|SPEECH			2			1		1		
	NEV|er|HEAR|the|SWEET.MU|sic|OF|speech			1		1		1	1		
	NEV|er|HEAR|the.sweet|MU|sic|OF|speech			1		2	1	1			
	NEV|er|HEAR|the|SWEET.MU|sic|OF.SPEECH			2				1	2		
I start at the sound of my own.	i|START|at.the|SOUND|of.my|OWN	2		2			1				
	I|start|AT|the|SOUND|of|MY|own					1		1			
	I|start|AT|the|SOUND|of.my|OWN			1		1	1				
	i|START|at.the|SOUND|of|MY|own			1			1	1			
	i|START.AT|the|SOUND|of|MY|own			1				1	1		
	I.START|at.the|SOUND|of.my|OWN			3					1		
The beasts that roam over the plain	the|BEASTS|that.roam|OV|er.the|PLAIN	2		2		1	1				
	the|BEASTS|that|ROAM|ov|ER|the|PLAIN		1			1		1			1
	the|BEASTS|that|ROAM.OV|er.the|PLAIN			2			1		1		
	the|BEASTS|that|ROAM.OV|er|THE|plain			1		1		1	1		
	THE|beasts|THAT|roam|OV|er.the|PLAIN			1		2	1	1			
	the|BEASTS|that.roam|OV|er|THE|plain			1		2	1	1			
	THE|beasts|THAT|roam|OV|er|THE|plain					3		2			
	the|BEASTS|that|ROAM.OV|er|THE.PLAIN			2				1	2		
My form with indifference see,	my|FORM|with.in|DIF|fer.ence|SEE [*Bounded]	2		2			1				
	my|FORM|with.ind|IFF|erence|SEE			1			1				
	MY|form|WITH|ind|IFF|erence|SEE					1		2			
	my.form|WITH|ind.iff|ERENCE.SEE		1	3		2		2			1
They are so unacquainted with man,	they.are|SO|un.ac|QUAINT|ed.with|MAN	2		3				1			
	THEY|are|SO|un.ac|QUAINT|ed.with|MAN			2			1	1			
	THEY|are.so|UN|ac|QUAINT|ed.with|MAN			2			1	1			
	they|ARE|so|UN|ac|QUAINT|ed.with|MAN			1			1	2			
	they|ARE|so|UN|ac|QUAINT|ed|WITH|man					1		3			
	they|ARE|so|UN|ac|QUAINT|ed|WITH.MAN			1				3	1		
Their tameness is shocking to me.	their|TAME|ness.is|SHOCK|ing.to|ME [*Bounded]	1		2			1	1			
	their|TAME|ness.is|SHOCK|ing|TO|me			1			1	1			
	THEIR|tame|NESS|is|SHOCK|ing|TO|me		1			1		3			1
	their|TAME|ness|IS|shock|ING|to|ME		1			1		3			1
Society, friendship, and love,	so|CI|et.y|FRIEND|ship.and|LOVE	1		2			1				
	so|CI|et.y|FRIEND|ship|AND|love			1		1	1	1			
	so|CI|et|Y|friend|SHIP|and|LOVE		1			1		2			1
Divinely bestow'd upon man,	di|VINE|ly.be|STOW'D|up.on|MAN [*Bounded]	2	1	2		1	1				
	di|VINE|ly.be|STOW'D|up|ON|man			1		1	1				
	di|VINE|ly.be|STOW'D|up|ON.MAN			2			1		1		
	DI|vine|LY|be|STOW'D|up|ON|man		1			2		2			2
	DI|vine|LY|be|STOW'D|up|ON.MAN		1	1		1		2	1		2
Oh had I the wings of a dove,	oh|HAD|i.the|WINGS|of.a|DOVE [*Bounded]	2		2		1	1				
	OH|had|I|the|WINGS|of.a|DOVE			1			1				
	OH|had|I|the|WINGS|of|A|dove					1		1			
	OH|had|I|the|WINGS|of|A.DOVE			1				1	1		
	OH|had|I|the|WINGS.OF|a|DOVE			1				1	1		
	OH.HAD|i.the|WINGS|of.a|DOVE			3					1		
How soon would I taste you again!	how|SOON|would.i|TASTE|you.ag|AIN	2		2			1				
	how|SOON|would|I|taste|YOU|ag|AIN					1		1			
	how|SOON.WOULD|i|TASTE.YOU|ag|AIN			2				1	2		
My sorrows I then might assuage	my|SOR|rows.i|THEN|might.as|SUAGE [*Bounded]	2		2			1				
	my|SOR|rows|I|then|MIGHT|as|SUAGE										
In the ways of religion and truth,	in.the|WAYS|of.re|LI|gion.and|TRUTH	2		3							
	IN|the|WAYS|of.re|LI|gion.and|TRUTH			2			1				
	IN|the|WAYS|of.re|LI|gion|AND|truth			1		1	1	1			
	in|THE|ways|OF|re|LI|gion|AND|truth					2		3			
	IN|the|WAYS|of|RE|li|GION|and|TRUTH		1			1		2			2
	in|THE|ways|OF|re|LI|gion|AND.TRUTH			1		1		3	1		
Might learn from the wisdom of age,	might|LEARN|from.the|WIS|dom.of|AGE	2		2			1				
	MIGHT|learn|FROM|the|WIS|dom.of|AGE			1		1	1	1			
	might|LEARN|from.the|WIS|dom|OF|age			1		1	1	1			
	MIGHT|learn|FROM|the|WIS|dom|OF|age					2		2			
	MIGHT.LEARN|from.the|WIS|dom.of|AGE			3					1		
	might|LEARN|from|THE|wis|DOM|of|AGE		1			1		2			1
	MIGHT|learn|FROM|the|WIS|dom|OF.AGE			1		1		2	1		
And be cheer'd by the sallies of youth.	and.be|CHEER'D|by.the|SAL|lies.of|YOUTH	2		3							
	AND|be|CHEER'D|by.the|SAL|lies.of|YOUTH			2			1	1			
	and|BE|cheer'd|BY|the|SAL|lies.of|YOUTH			1		1	1	1			
	and|BE|cheer'd|BY|the|SAL|lies|OF|youth					2		2			
	and|BE|cheer'd|BY|the|SAL|lies|OF.YOUTH			1		1		2	1		
	AND|be|CHEER'D|by|THE|sal|LIES|of|YOUTH		1			1		3			1
Religion! what treasure untold	re|LI|gion.what|TREA|sure.un|TOLD	2		2			1				
	re|LI|gion|WHAT|trea|SURE|un|TOLD		1			1		1			1
	re|LI|gion|WHAT.TREA|sure|UN.TOLD			2				1	2		1
Resides in that heavenly word!	re|SIDES|in.that|HEAV|en.ly|WORD	2		2			1				
	re|SIDES|in.that|HEA|venly|WORD			1	1		1				
	re|SIDES|in|THAT.HEA|venly|WORD			1	1				1		
	re|SIDES.IN|that|HEA|venly|WORD			1	1				1		
	re|SIDES|in.that|HEAV|en|LY|word			1		1	1	1			
	re|SIDES|in|THAT|heav|EN|ly|WORD		1			1		1			1
	re|SIDES|in|THAT.HEAV|en|LY|word			1		1		1	1		
	re|SIDES.IN|that|HEAV|en|LY|word			1		1		1	1		
	re|SIDES|in|THAT.HEAV|en|LY.WORD			2				1	2		
	re|SIDES.IN|that|HEAV|en|LY.WORD			2				1	2		
More precious than silver and gold,	more|PRE|cious.than|SIL|ver.and|GOLD	2		2			1				
	more|PRE|cious.than|SIL|ver|AND|gold			1		1	1	1			
	MORE.PRE|cious.than|SIL|ver.and|GOLD			3					1		
	more|PRE|cious|THAN|sil|VER|and|GOLD		1			1		2			1
Or all that this earth can afford.	or|ALL|that.this|EARTH|can.af|FORD	2		2			1				
	or.all|THAT|this|EARTH|can.af|FORD			2			1				
	OR|all|THAT|this|EARTH|can.af|FORD			1			1	1			
	or|ALL|that|THIS|earth|CAN|af|FORD					1		2			
	OR|all|THAT|this|EARTH.CAN|af|FORD			1				2	1		
	or|ALL.THAT|this|EARTH.CAN|af|FORD			2				1	2		
	or|ALL.THAT|this|EARTH|can|AF|ford		1	1		1		1	1		1
	or.all|THAT|this.earth|CAN|af.ford		1	3		2		1		1	
But the sound of the church-going bell	but.the|SOUND|of.the|CHURCH|go.ing|BELL	2	1	3		1					
	BUT|the|SOUND|of|THE|church|GO|ing|BELL					1		2			
	but.the|SOUND|of.the|CHURCH.GO|ing|BELL			3			1				
	BUT|the|SOUND|of.the|CHURCH.GO|ing|BELL			2			1	1			
	but.the|SOUND|of|THE|church|GO|ing|BELL			1		1	1	1			
	but.the|SOUND|of.the|CHURCH.GO|ing.bell			4		1				1	
These valleys and rocks never heard,	these|VAL|leys.and|ROCKS|nev.er|HEARD [*Bounded]	2	1	2		1	1				
	these|VAL|leys|AND|rocks|NEV|er|HEARD					1		1			
	these|VAL|leys.and|ROCKS.NEV|er|HEARD			2			1				
Ne'er sigh'd at the sound of a knell,	ne'er|SIGH'D|at.the|SOUND|of.a|KNELL [*Bounded]	2		2		1	1				
	NE'ER|sigh'd|AT|the|SOUND|of.a|KNELL			1		1	1				
	NE'ER|sigh'd|AT|the|SOUND|of|A|knell					2		1			
	NE'ER.SIGH'D|at.the|SOUND|of.a|KNELL			3					1		
	NE'ER|sigh'd|AT|the|SOUND|of|A.KNELL			1		1		1	1		
	NE'ER|sigh'd|AT|the|SOUND.OF|a|KNELL			1		1		1	1		
Or smiled when a sabbath appear'd.	or|SMILED|when.a|SAB|bath.ap|PEAR'D	2		2			1				
	OR|smiled|WHEN|a|SAB|bath.ap|PEAR'D			1		1	1	1			
	or|SMILED|when|A|sab|BATH|ap|PEAR'D		1			1		2			1
	OR|smiled|WHEN|a|SAB|bath|AP.PEAR'D			1		1		2	1		1
	OR|smiled|WHEN|a|SAB.BATH|ap|PEAR'D			1		1		2	1		1
	or|SMILED.WHEN|a|SAB|bath|AP|pear'd		1	1		1		1	1		1
	or|SMILED.WHEN|a|SAB|bath|AP.PEAR'D			2				1	2		1
	or|SMILED.WHEN|a|SAB.BATH|ap|PEAR'D			2				1	2		1
	or|SMILED|when.a|SAB|bath|AP|pear'd		1	1		2	1	1			1
	or.smiled|WHEN|a|SAB|bath|AP|pear'd		1	1		2	1	1			1
Ye winds that have made me your sport,	ye|WINDS|that.have|MADE|me.your|SPORT	2		2			1				
	ye|WINDS|that|HAVE|made|ME|your|SPORT					1		1			
	ye|WINDS.THAT|have|MADE|me|YOUR.SPORT			2				1	2		
	ye|WINDS.THAT|have|MADE.ME|your|SPORT			2				1	2		
	ye|WINDS|that|HAVE.MADE|me|YOUR.SPORT			2				1	2		
Convey to this desolate shore	con|VEY|to.this|DES|o.late|SHORE	2		2			1				
	con|VEY|to.this|DES|o|LATE|shore			1		1	1				
	con|VEY|to|THIS|des|O|late|SHORE		1			1		2			1
Some cordial endearing report	some|COR|dial.en|DEAR|ing.re|PORT	2		2			1				
	SOME.COR|dial.en|DEAR|ing.re|PORT			3					1		
	SOME|cor|DIAL|en|DEAR|ing.re|PORT		1	1		1	1	1			1
	some|COR|dial.en|DEAR|ing|RE|port		1	1		1	1	1			1
	some|COR|dial|EN|dear|ING|re|PORT		1			1		2			2
Of a land I shall visit no more!	of.a|LAND|i.shall|VIS|it.no|MORE	2		3		1					
	of|A|land|I|shall|VIS|it|NO|more					1		1			
	of.a|LAND.I|shall|VIS|it|NO|more			2			1				
	OF|a|LAND|i.shall|VIS|it|NO|more			1			1	1			
	OF|a|LAND.I|shall|VIS|it|NO|more			1				1	1		
	OF|a|LAND|i|SHALL.VIS|it|NO|more			1				1	1		
My friends, do they now and then send	my|FRIENDS|do.they|NOW|and.then|SEND	2		2			1				
	my|FRIENDS|do|THEY|now|AND|then|SEND					1		1			
	my|FRIENDS|do.they|NOW|and|THEN|send			1		1	1				
	my|FRIENDS.DO|they|NOW|and|THEN|send			1		1			1		
