			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
I am monarch of all I survey,	I|am|MON.ARCH|of.all|I|sur|VEY						
	i.am|MON.ARCH|of.all|I|sur|VEY						
My right there is none to dispute,	my|RIGHT|there.is|NONE|to.dis*|PUTE	2			1		
	my|RIGHT|there|IS|none*|TO*|dis|PUTE					1	1
	my|RIGHT|there.is|NONE|to|DIS.PUTE*			1		1	
From the centre all round to the sea,	from.the|CEN|tre.all*|ROUND|to.the|SEA	2			1		
	from.the|CEN|tre|ALL|round|TO*|the|SEA					1	
	from.the|CEN|tre|ALL.ROUND*|to.the|SEA				1		
I am lord of the fowl and the brute.	i.am|LORD|of.the|FOWL|and.the|BRUTE	2					
	I|am|LORD|of.the|FOWL|and.the|BRUTE						
O solitude! where are the charms	o|SO|li.tude*|WHERE|are.the|CHARMS	2	1	1			1
	o|SO|li|TUDE|where|ARE*|the|CHARMS					1	
	o|SO|li|TUDE.WHERE*|are.the|CHARMS				1		
That sages have seen in thy face?	that|SAG|es.have*|SEEN|in.thy|FACE	2			1		
	that|SAG|es|HAVE|seen*|IN|thy|FACE						1
	that|SAG|es|HAVE.SEEN*|in.thy|FACE				1		
	that|SAG.ES*|have|SEEN|in.thy|FACE			1		1	
Better dwell in the midst of alarms,	BET|ter|DWELL|in.the|MIDST|of.ala*|RMS	1			1		
	BET|ter|DWELL|in.the|MIDST|of|ALA.RMS*			1		1	
	BET|ter|DWELL|in|THE*|midst*|OF*|ala|RMS					2	1
	BET|ter|DWELL|in.the|MIDST|of|ALA*|rms*		1			1	1
Than reign in this horrible place.	than|REIGN|in.this|HOR|ri.ble*|PLACE	2		1			
	than|REIGN|in.this|HOR|ri|BLE*|place*					1	1
	than|REIGN|in.this|HOR|ri|BLE.PLACE*				1	1	
I am out of humanity's reach,	I|am|OUT*|of|HUMANITY'S|reach*					1	1
	I|am.out|OF*|humanity's*|REACH					1	1
	i|AM*|out.of|HUMANITY'S|reach*					1	1
	i.am|OUT*|of|HUMANITY'S|reach*					1	1
	I|am|OUT*|of|HUMANITY'S.REACH*				1	1	
	i|AM*|out.of|HUMANITY'S.REACH*				1	1	
	i.am|OUT*|of|HUMANITY'S.REACH*				1	1	
I must finish my journey alone,	i.must|FIN|ish.my*|JOUR|ney.al*|ONE	2			2		
	I|must|FIN.ISH*|my|JOUR|ney.al*|ONE				1	1	
	i.must|FIN.ISH*|my|JOUR|ney.al*|ONE				1	1	
	I|must|FIN|ish.my*|JOUR|ney.al*|ONE				2		
	I|must|FIN.ISH*|my|JOUR|ney|AL.ONE*			1		2	
	I|must|FIN.ISH*|my|JOUR.NEY*|al|ONE			1		2	
	i.must|FIN.ISH*|my|JOUR|ney|AL.ONE*			1		2	
	i.must|FIN.ISH*|my|JOUR.NEY*|al|ONE			1		2	
	I|must|FIN|ish|MY*|jour*|NEY*|al|ONE		1			2	1
	I|must|FIN.ISH*|my|JOUR|ney|AL*|one*		1			2	1
	i.must|FIN|ish|MY*|jour*|NEY*|al|ONE		1			2	1
	i.must|FIN.ISH*|my|JOUR|ney|AL*|one*		1			2	1
Never hear the sweet music of speech,	NEV|er|HEAR|the|SWEET.MU*|sic.of*|SPEECH				2		
	NEV|er|HEAR|the|SWEET.MU*|sic|OF*|speech*				1	1	1
